MatricID,Class,IndexNo,Gender
NYJC-2023001,2345,1,M
NYJC-2023002,2345,2,F
NYJC-2023003,2345,3,M
NYJC-2023004,2345,4,F
NYJC-2023005,2345,5,F
NYJC-2023006,2346,1,F
NYJC-2023007,2346,2,F
NYJC-2023008,2346,3,F
NYJC-2023009,2346,4,M
NYJC-2023010,2347,5,M
NYJC-2023011,2347,1,M
NYJC-2023012,2347,2,M
NYJC-2023013,2347,3,M
NYJC-2023014,2347,4,M
NYJC-2023015,2347,5,M
NYJC-2023016,2348,1,M
NYJC-2023017,2348,2,M
NYJC-2023018,2348,3,F
NYJC-2023019,2348,4,M
NYJC-2023020,2348,5,M
NYJC-2023021,2349,1,F
NYJC-2023022,2349,2,M
NYJC-2023023,2349,3,M
NYJC-2023024,2349,4,F
NYJC-2023025,2349,5,M
NYJC-2023026,2350,1,F
NYJC-2023027,2350,2,M
NYJC-2023028,2350,3,M
NYJC-2023029,2350,4,M
NYJC-2023030,2350,5,M
