MatricID,CandidateID
NYJC-2023017,NYJC23-CV01
NYJC-2023027,NYJC23-CV23
NYJC-2023009,NYJC23-CV23
NYJC-2023027,NYJC23-CV09
NYJC-2023007,NYJC23-CV10
NYJC-2023028,NYJC23-CV12
NYJC-2023002,NYJC23-CV04
NYJC-2023026,NYJC23-CV22
NYJC-2023023,NYJC23-CV12
NYJC-2023023,NYJC23-CV24
NYJC-2023018,NYJC23-CV07
NYJC-2023010,NYJC23-CV04
NYJC-2023018,NYJC23-CV16
NYJC-2023004,NYJC23-CV03
NYJC-2023020,NYJC23-CV04
NYJC-2023029,NYJC23-CV12
NYJC-2023009,NYJC23-CV24
NYJC-2023002,NYJC23-CV18
NYJC-2023017,NYJC23-CV14
NYJC-2023023,NYJC23-CV01
NYJC-2023025,NYJC23-CV17
NYJC-2023011,NYJC23-CV23
NYJC-2023007,NYJC23-CV16
NYJC-2023019,NYJC23-CV08
NYJC-2023011,NYJC23-CV24
NYJC-2023017,NYJC23-CV24
NYJC-2023019,NYJC23-CV09
NYJC-2023006,NYJC23-CV22
NYJC-2023006,NYJC23-CV16
NYJC-2023015,NYJC23-CV05
NYJC-2023030,NYJC23-CV01
NYJC-2023021,NYJC23-CV21
NYJC-2023004,NYJC23-CV08
NYJC-2023025,NYJC23-CV14
NYJC-2023010,NYJC23-CV10
NYJC-2023012,NYJC23-CV07
NYJC-2023029,NYJC23-CV08
NYJC-2023010,NYJC23-CV24
NYJC-2023006,NYJC23-CV23
NYJC-2023021,NYJC23-CV13
NYJC-2023029,NYJC23-CV10
NYJC-2023010,NYJC23-CV09
NYJC-2023003,NYJC23-CV16
NYJC-2023030,NYJC23-CV10
NYJC-2023014,NYJC23-CV04
NYJC-2023017,NYJC23-CV13
NYJC-2023019,NYJC23-CV14
NYJC-2023011,NYJC23-CV16
NYJC-2023020,NYJC23-CV02
NYJC-2023013,NYJC23-CV07
NYJC-2023022,NYJC23-CV09
NYJC-2023001,NYJC23-CV21
NYJC-2023017,NYJC23-CV16
NYJC-2023027,NYJC23-CV24
NYJC-2023009,NYJC23-CV16
NYJC-2023003,NYJC23-CV02
NYJC-2023020,NYJC23-CV20
NYJC-2023015,NYJC23-CV07
NYJC-2023010,NYJC23-CV13
NYJC-2023026,NYJC23-CV18
NYJC-2023017,NYJC23-CV20
NYJC-2023022,NYJC23-CV12
NYJC-2023007,NYJC23-CV23
NYJC-2023020,NYJC23-CV05
NYJC-2023022,NYJC23-CV14
NYJC-2023015,NYJC23-CV12
NYJC-2023008,NYJC23-CV15
NYJC-2023020,NYJC23-CV21
NYJC-2023015,NYJC23-CV20
NYJC-2023010,NYJC23-CV14
NYJC-2023012,NYJC23-CV13
NYJC-2023004,NYJC23-CV01
NYJC-2023026,NYJC23-CV06
NYJC-2023013,NYJC23-CV16
NYJC-2023008,NYJC23-CV16
NYJC-2023026,NYJC23-CV09
NYJC-2023021,NYJC23-CV02
NYJC-2023005,NYJC23-CV13
NYJC-2023024,NYJC23-CV10
NYJC-2023007,NYJC23-CV18
NYJC-2023015,NYJC23-CV22
NYJC-2023003,NYJC23-CV19
